url_length,count_digits,has_at,has_https,count_dots,has_hyphen,has_ip,count_special_chars,count_slash,path_length,count_subdomains,has_suspicious_words,url_entropy,digit_ratio,has_port,tld_length,is_shortened_url,label
20.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.4464393446710155,0.0,0.0,2.0,0.0,0
18.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.7254805569978675,0.0,0.0,2.0,0.0,0
37.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,4.2629790410707376,0.13513513513513514,0.0,2.0,0.0,1
19.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.431623565847431,0.0,0.0,3.0,1.0,0
38.0,7.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,8.0,1.0,0.0,4.4713544870139295,0.18421052631578946,0.0,2.0,0.0,1
36.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,4.350209029099897,0.05555555555555555,0.0,2.0,0.0,1
32.0,14.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,6.0,2.0,0.0,4.015319531114783,0.4375,1.0,8.0,0.0,1
17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.616874605956222,0.0,0.0,3.0,0.0,0
21.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.011365041826379,0.09523809523809523,0.0,3.0,0.0,0
22.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.6978458230844122,0.0,0.0,3.0,1.0,0
18.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.5724312513221195,0.05555555555555555,0.0,3.0,0.0,0
17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.7345216647797512,0.0,0.0,2.0,0.0,0
27.0,14.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,3.6023165585055517,0.5185185185185185,1.0,9.0,0.0,1
17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.2639334294856335,0.0,0.0,2.0,0.0,0
37.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,8.0,1.0,0.0,4.391489514102182,0.02702702702702703,0.0,2.0,0.0,1
48.0,19.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,27.0,2.0,0.0,4.5616413449135775,0.3958333333333333,0.0,3.0,0.0,1
27.0,14.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,3.6339740759971573,0.5185185185185185,1.0,9.0,0.0,1
35.0,17.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,6.0,2.0,0.0,3.9648576597402956,0.4857142857142857,1.0,9.0,0.0,1
21.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.7849418274376427,0.0,0.0,3.0,0.0,0
28.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.699513850319966,0.0,0.0,3.0,0.0,0
31.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.937751955408587,0.0,0.0,2.0,0.0,0
24.0,8.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,5.0,2.0,0.0,3.938721875540867,0.3333333333333333,0.0,1.0,0.0,1
59.0,10.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,17.0,1.0,0.0,4.32096566821917,0.1694915254237288,1.0,8.0,0.0,1
17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.3371753411230767,0.0,0.0,3.0,0.0,0
